epoch,accuracy,loss,val_accuracy,val_loss
1,0.23880000412464142,2.034191131591797,0.326200008392334,1.8650927543640137
2,0.29934999346733093,1.9008917808532715,0.32600000500679016,1.837070345878601
3,0.321150004863739,1.8579607009887695,0.34130001068115234,1.8057804107666016
4,0.33035001158714294,1.8329154253005981,0.35510000586509705,1.7914286851882935
5,0.3402250111103058,1.8107717037200928,0.3781000077724457,1.7683736085891724
6,0.34584999084472656,1.792143702507019,0.38909998536109924,1.7324718236923218
7,0.3515250086784363,1.7777791023254395,0.3538999855518341,1.776247501373291
8,0.3608750104904175,1.7536031007766724,0.38989999890327454,1.7395511865615845
9,0.36512500047683716,1.7546876668930054,0.37389999628067017,1.7329529523849487
10,0.36695000529289246,1.743268370628357,0.4027000069618225,1.7139177322387695
11,0.3714999854564667,1.7340755462646484,0.4056999981403351,1.688907265663147
12,0.37279999256134033,1.731317400932312,0.40369999408721924,1.6928491592407227
13,0.3781000077724457,1.71390700340271,0.39469999074935913,1.6937189102172852
14,0.38165000081062317,1.7066349983215332,0.41269999742507935,1.6732306480407715
15,0.3831250071525574,1.7018024921417236,0.42170000076293945,1.659375786781311
16,0.3852750062942505,1.6967443227767944,0.40869998931884766,1.6795402765274048
17,0.3863750100135803,1.6918220520019531,0.40880000591278076,1.6941229104995728
18,0.39092499017715454,1.6835622787475586,0.4203000068664551,1.6425135135650635
19,0.39079999923706055,1.6846543550491333,0.4147000014781952,1.6616816520690918
20,0.3986999988555908,1.6690255403518677,0.4244000017642975,1.6289392709732056
