episode,loss,accuracy
1,1.6027647256851196,0.23999999463558197
2,1.6095846891403198,0.1599999964237213
3,1.6033451557159424,0.3199999928474426
4,1.6051025390625,0.23999999463558197
5,1.6039820909500122,0.20000000298023224
6,1.6038007736206055,0.2800000011920929
7,1.6153751611709595,0.23999999463558197
8,1.607289433479309,0.14000000059604645
9,1.6024060249328613,0.25999999046325684
10,1.609861135482788,0.1599999964237213
11,1.6088203191757202,0.1599999964237213
12,1.6068438291549683,0.18000000715255737
13,1.6072371006011963,0.18000000715255737
14,1.6171014308929443,0.11999999731779099
15,1.6099598407745361,0.18000000715255737
16,1.6058645248413086,0.23999999463558197
17,1.6126184463500977,0.18000000715255737
18,1.6058613061904907,0.2800000011920929
19,1.6011455059051514,0.3400000035762787
20,1.6141003370285034,0.20000000298023224
21,1.601943850517273,0.2199999988079071
22,1.610041856765747,0.18000000715255737
23,1.6107513904571533,0.20000000298023224
24,1.6039766073226929,0.2800000011920929
25,1.5920491218566895,0.25999999046325684
26,1.592406153678894,0.2199999988079071
27,1.5814701318740845,0.30000001192092896
28,1.574580430984497,0.23999999463558197
29,1.5740516185760498,0.30000001192092896
30,1.5514758825302124,0.3199999928474426
31,1.5136429071426392,0.4000000059604645
32,1.5764449834823608,0.3199999928474426
33,1.5705875158309937,0.30000001192092896
34,1.6550487279891968,0.1599999964237213
35,1.5099880695343018,0.25999999046325684
36,1.5016038417816162,0.2800000011920929
37,1.5982704162597656,0.3199999928474426
38,1.6172451972961426,0.20000000298023224
39,1.603554368019104,0.2800000011920929
40,1.614212155342102,0.20000000298023224
41,1.572823166847229,0.30000001192092896
42,1.5835061073303223,0.23999999463558197
43,1.560939073562622,0.25999999046325684
44,1.5524450540542603,0.3199999928474426
45,1.4636447429656982,0.3400000035762787
46,1.5541484355926514,0.2800000011920929
47,1.4567958116531372,0.30000001192092896
48,1.5464181900024414,0.25999999046325684
49,1.5389550924301147,0.2800000011920929
50,1.4913513660430908,0.3400000035762787
51,1.4857912063598633,0.3199999928474426
52,1.5421751737594604,0.3799999952316284
53,1.4485220909118652,0.4399999976158142
54,1.5522574186325073,0.3400000035762787
55,1.438627004623413,0.36000001430511475
56,1.5443673133850098,0.3400000035762787
57,1.5848078727722168,0.2800000011920929
58,1.4968563318252563,0.41999998688697815
59,1.496160864830017,0.3199999928474426
60,1.5441681146621704,0.3199999928474426
61,1.5608928203582764,0.3400000035762787
62,1.5040266513824463,0.3400000035762787
63,1.4325717687606812,0.3199999928474426
64,1.577944040298462,0.2800000011920929
65,1.520443081855774,0.4399999976158142
66,1.5389196872711182,0.2199999988079071
67,1.5267654657363892,0.11999999731779099
68,1.5537627935409546,0.3400000035762787
69,1.5199899673461914,0.25999999046325684
70,1.601353645324707,0.23999999463558197
71,1.4862629175186157,0.3799999952316284
72,1.64497971534729,0.3400000035762787
73,1.5169600248336792,0.36000001430511475
74,1.5946911573410034,0.25999999046325684
75,1.5135529041290283,0.36000001430511475
76,1.4929107427597046,0.4000000059604645
77,1.4679893255233765,0.3199999928474426
78,1.5351907014846802,0.25999999046325684
79,1.4314734935760498,0.46000000834465027
80,1.5022755861282349,0.23999999463558197
81,1.420375943183899,0.41999998688697815
82,1.5192022323608398,0.2800000011920929
83,1.4904125928878784,0.2800000011920929
84,1.4792320728302002,0.3199999928474426
85,1.323063611984253,0.4399999976158142
86,1.3182827234268188,0.47999998927116394
87,1.4769576787948608,0.36000001430511475
88,1.3662759065628052,0.36000001430511475
89,1.357649564743042,0.3199999928474426
90,1.5448133945465088,0.25999999046325684
91,1.474610447883606,0.36000001430511475
92,1.5643577575683594,0.18000000715255737
93,1.4869471788406372,0.25999999046325684
94,1.5657775402069092,0.23999999463558197
95,1.5018872022628784,0.23999999463558197
96,1.6555830240249634,0.20000000298023224
97,1.5058315992355347,0.2800000011920929
98,1.5070914030075073,0.30000001192092896
99,1.5088300704956055,0.23999999463558197
100,1.3983659744262695,0.5
101,1.5217480659484863,0.25999999046325684
102,1.5284202098846436,0.36000001430511475
103,1.5253515243530273,0.25999999046325684
104,1.4959003925323486,0.4000000059604645
105,1.4665294885635376,0.2800000011920929
106,1.5153677463531494,0.3400000035762787
107,1.482508659362793,0.2800000011920929
108,1.5818780660629272,0.20000000298023224
109,1.570191502571106,0.3199999928474426
110,1.5408380031585693,0.2800000011920929
111,1.4982573986053467,0.3199999928474426
112,1.5116403102874756,0.3400000035762787
113,1.5430454015731812,0.3400000035762787
114,1.6185330152511597,0.30000001192092896
115,1.4410121440887451,0.3199999928474426
116,1.53415846824646,0.23999999463558197
117,1.521227240562439,0.3400000035762787
118,1.5596766471862793,0.25999999046325684
119,1.5577772855758667,0.3199999928474426
120,1.4817527532577515,0.41999998688697815
121,1.5390045642852783,0.4000000059604645
122,1.5264736413955688,0.30000001192092896
123,1.562804102897644,0.2800000011920929
124,1.5158189535140991,0.23999999463558197
125,1.5605316162109375,0.23999999463558197
126,1.5079426765441895,0.3799999952316284
127,1.5853537321090698,0.23999999463558197
128,1.4910238981246948,0.3400000035762787
129,1.540788173675537,0.2800000011920929
130,1.5504276752471924,0.30000001192092896
131,1.465949535369873,0.36000001430511475
132,1.5604579448699951,0.41999998688697815
133,1.4813427925109863,0.30000001192092896
134,1.4182064533233643,0.41999998688697815
135,1.4783411026000977,0.36000001430511475
136,1.5157194137573242,0.30000001192092896
137,1.509030818939209,0.3799999952316284
138,1.5150278806686401,0.3199999928474426
139,1.4568477869033813,0.3199999928474426
140,1.468302607536316,0.36000001430511475
141,1.5211061239242554,0.2800000011920929
142,1.5922629833221436,0.3199999928474426
143,1.5627042055130005,0.4000000059604645
144,1.548927664756775,0.2800000011920929
145,1.5309066772460938,0.30000001192092896
146,1.5727282762527466,0.25999999046325684
147,1.5808137655258179,0.3799999952316284
148,1.562049150466919,0.3799999952316284
149,1.6019301414489746,0.1599999964237213
150,1.5835275650024414,0.25999999046325684
151,1.6043263673782349,0.20000000298023224
152,1.6103788614273071,0.18000000715255737
153,1.5811725854873657,0.3199999928474426
154,1.5873526334762573,0.2199999988079071
155,1.5391618013381958,0.3199999928474426
156,1.5707508325576782,0.2800000011920929
157,1.5527853965759277,0.30000001192092896
158,1.489225149154663,0.2800000011920929
159,1.5017390251159668,0.36000001430511475
160,1.496954083442688,0.3199999928474426
161,1.465997576713562,0.3799999952316284
162,1.3982354402542114,0.3400000035762787
163,1.4609084129333496,0.4000000059604645
164,1.5236668586730957,0.2199999988079071
165,1.4312236309051514,0.3400000035762787
166,1.5674824714660645,0.2800000011920929
167,1.5354336500167847,0.30000001192092896
168,1.4307955503463745,0.3799999952316284
169,1.4492378234863281,0.3799999952316284
170,1.5218194723129272,0.30000001192092896
171,1.5200878381729126,0.2199999988079071
172,1.572318434715271,0.2800000011920929
173,1.5657191276550293,0.36000001430511475
174,1.4817851781845093,0.4000000059604645
175,1.3881175518035889,0.3199999928474426
176,1.5957962274551392,0.3199999928474426
177,1.6081397533416748,0.23999999463558197
178,1.5299556255340576,0.30000001192092896
179,1.5594139099121094,0.30000001192092896
180,1.5547922849655151,0.2199999988079071
181,1.5884605646133423,0.30000001192092896
182,1.5401991605758667,0.2800000011920929
183,1.5708699226379395,0.3400000035762787
184,1.5755112171173096,0.3199999928474426
185,1.5502026081085205,0.2800000011920929
186,1.6328938007354736,0.18000000715255737
187,1.5174411535263062,0.3199999928474426
188,1.5514402389526367,0.3199999928474426
189,1.5378036499023438,0.36000001430511475
190,1.4861152172088623,0.41999998688697815
191,1.4881194829940796,0.36000001430511475
192,1.4767358303070068,0.41999998688697815
193,1.3684483766555786,0.25999999046325684
194,1.4460104703903198,0.3199999928474426
195,1.4444537162780762,0.30000001192092896
196,1.5705817937850952,0.3400000035762787
197,1.636932373046875,0.25999999046325684
198,1.430741310119629,0.30000001192092896
199,1.4086418151855469,0.3799999952316284
200,1.5550847053527832,0.25999999046325684
201,1.4424080848693848,0.3400000035762787
202,1.616263747215271,0.18000000715255737
203,1.5395939350128174,0.3400000035762787
204,1.3547283411026,0.30000001192092896
205,1.5140931606292725,0.25999999046325684
206,1.4627985954284668,0.3199999928474426
207,1.37298583984375,0.36000001430511475
208,1.3097456693649292,0.3799999952316284
209,1.5113670825958252,0.25999999046325684
210,1.5094012022018433,0.4000000059604645
211,1.5039944648742676,0.4000000059604645
212,1.3323620557785034,0.3799999952316284
213,1.526921033859253,0.3199999928474426
214,1.4394677877426147,0.3400000035762787
215,1.4939241409301758,0.30000001192092896
216,1.4746370315551758,0.4000000059604645
217,1.576364278793335,0.30000001192092896
218,1.601090669631958,0.18000000715255737
219,1.496822714805603,0.3199999928474426
220,1.4261634349822998,0.2199999988079071
