model,loss,accuracy
ANN,1.603371262550354,0.4413999915122986
LSTM,1.1925854682922363,0.5910000205039978
Few-shot LSTM Encoder,0.0,0.2530000002682209
Few-shot LSTM Encoder,0.0,0.2864000004529953
Few-shot LSTM Encoder,0.0,0.33680000171065333
Few-shot LSTM Encoder,0.0,0.33160000190138816
