epoch,accuracy,loss,val_accuracy,val_loss
1,0.2909500002861023,1.9125701189041138,0.3718000054359436,1.7201517820358276
2,0.3925749957561493,1.6636066436767578,0.41130000352859497,1.6171494722366333
3,0.4344500005245209,1.550195574760437,0.45350000262260437,1.504825234413147
4,0.4664750099182129,1.4662084579467773,0.49059998989105225,1.4158498048782349
5,0.4925999939441681,1.4040594100952148,0.5020999908447266,1.3685150146484375
6,0.5151500105857849,1.3461674451828003,0.5087000131607056,1.3539749383926392
7,0.5339750051498413,1.2944658994674683,0.5228999853134155,1.3130314350128174
8,0.5496000051498413,1.2536600828170776,0.5383999943733215,1.2797448635101318
9,0.5642499923706055,1.2106373310089111,0.5507000088691711,1.2533342838287354
10,0.5791000127792358,1.1703850030899048,0.564300000667572,1.218123197555542
11,0.5935750007629395,1.1407628059387207,0.5769000053405762,1.1950621604919434
12,0.6035249829292297,1.1008673906326294,0.5759000182151794,1.1932806968688965
13,0.618399977684021,1.0733979940414429,0.5741000175476074,1.1950632333755493
14,0.6259499788284302,1.0482600927352905,0.5806999802589417,1.1979737281799316
15,0.6377000212669373,1.0211855173110962,0.5771999955177307,1.2096529006958008
16,0.6469249725341797,0.9943258762359619,0.5838000178337097,1.1790388822555542
17,0.6549500226974487,0.9692801833152771,0.5856000185012817,1.1961562633514404
18,0.6641749739646912,0.9446314573287964,0.5856000185012817,1.2039878368377686
19,0.6736249923706055,0.9162441492080688,0.5972999930381775,1.1929478645324707
20,0.6830499768257141,0.9011077880859375,0.5907999873161316,1.193718433380127
